timestamp,total,BERNE,INFOSOC,LPI,USC17
2025-10-13T02:02:37Z,941,125,151,540,125
2025-10-13T03:46:09Z,941,125,151,540,125
2025-10-20T03:52:38Z,941,125,151,540,125
2025-10-27T03:56:18Z,941,125,151,540,125
2025-11-03T03:54:41Z,941,125,151,540,125
2025-11-10T03:55:01Z,941,125,151,540,125
2025-11-17T03:53:40Z,941,125,151,540,125
2025-11-24T04:00:57Z,941,125,151,540,125
2025-12-01T04:15:58Z,941,125,151,540,125
2026-01-19T04:16:15Z,943,125,151,542,125
2026-01-26T04:20:37Z,943,125,151,542,125
2026-02-02T05:02:02Z,943,125,151,542,125
2026-02-09T05:05:08Z,943,125,151,542,125
2026-02-16T05:03:52Z,943,125,151,542,125
2026-02-23T05:02:43Z,943,125,151,542,125
2026-03-02T04:51:34Z,943,125,151,542,125
2026-03-09T04:56:30Z,943,125,151,542,125
2026-03-16T05:20:58Z,943,125,151,542,125
2026-03-23T05:07:43Z,870,125,78,542,125
2026-03-30T05:30:08Z,943,125,151,542,125
2026-04-06T05:29:30Z,943,125,151,542,125
2026-04-13T05:46:02Z,870,125,78,542,125
2026-04-20T05:45:27Z,870,125,78,542,125
